"id","certificateid","courseid","coursename","cpath","startdate","enddate","duration","flag","certificatetype","createdate"
"129","ISS--SPC--08--24","SQL, PYTHON AND CHATGPT-AUGUST2024","EMPOWERING DATA AND AI SKILLS WITH SQL, PYTHON AND CHATGPT","bd205.jpg","24/07/2024","06/08/2024","2 weeks","0","landscape","2024-08-06 13:31:18"
"130","ISS--JOAT--03--24","JOAT03-AUGUST2024","JACK OF ALL TRADES: THE ULTIMATE UPSKILLING MATRIX","84e63.jpg","10/07/2024","06/08/2024","1 Month","0","landscape","2024-08-06 14:14:29"
"131","ISS--PL--08--24","PYTHON PROGRAMMING-AUG 2024","PYTHON PROGRAMMING: IGNITE YOUR CREATIVITY","25d01.jpg","12/08/2024","23/08/2024","2 weeks","0","landscape","2024-08-24 14:12:52"
"132","ISS--MSE--08--24","FDP Microsoft Essentials-Aug 2024","FDP Microsoft Essentials","6ae24.jpg","26/08/2024","30/08/2024","5 Days","0","landscape","2024-08-30 14:37:34"
"133","ISS--KML--08--24","PYTHON AND MACHINE LEARNING-Karpagam Clg Aug 2024","PYTHON AND MACHINE LEARNING: BASICS TO BRILLIANCE","df8e5.jpg","01/08/2024","31/08/2024","1 Month","0","landscape","2024-08-31 09:10:54"
"134","ISS--DAR--09--24","MASTERING DATA ANALYSIS-SEP 2024","MASTERING DATA ANALYSIS: FROM BASICS TO ADVANCED STATISTICAL TECHNIQUES WITH R","31997.jpg","02/09/2024","06/09/2024","5 Days","0","landscape","2024-09-05 15:51:08"
"135","ISS--DEB--09--24","DATA EXPLORATION AND BEYOND-SEP 2024","DATA EXPLORATION AND BEYOND: MANIPULATION, VISUALIZATION, AND REAL-TIME INSIGHTS","38b25.jpg","28/08/2024","06/09/2024","2 weeks","0","landscape","2024-09-06 15:17:01"
"136","ISS--PML--08--24","AICTE - PYTHON & MACHINE LEARNING-AUG 2024","AICTE - PYTHON & MACHINE LEARNING: BASICS TO BRILLIANCE","59bc8.jpg","12/08/2024","06/09/2024","1 Month","0","landscape","2024-09-06 15:43:48"
"137","ISS--DC--09--24"," DEMYSTIFY THE CODING - Sep 2024","DEMYSTIFY THE CODING - MASTERING DATA STRUCTURES, ALGORITHMS, AND PROBLEM SOLVING","a0392.jpg","02/09/2024","06/09/2024","5 Days","0","landscape","2024-09-07 10:58:33"
"138","ISS--PMB--08--24","PLACEMENT PREPARTORY BOOTCAMP - SEP 2024","PLACEMENT PREPARTORY BOOTCAMP","f978e.jpg","19/08/2024","06/09/2024","3 weeks","0","landscape","2024-09-07 12:08:47"
"139","ISS--EXM--09--24","EXCEL MASTERY - SEP 2024","EXCEL MASTERY: CORE SKILLS AND ADVANCED INSIGHTS","ac25c.jpg","09/09/2024","12/09/2024","3 Days","0","landscape","2024-09-12 15:06:52"
"140","ISS--EMC--09--24","EXCEL MASTERCLASS - SEP 2024","EXCEL MASTERCLASS: ESSENTIAL SKILLS AND ADVANCED ANALYSIS","36392.jpg","09/09/2024","21/09/2024","2 weeks","0","landscape","2024-09-20 20:44:28"
"141","ISS--RFP--09--24","RESEARCH PROPOSAL WRITING FOR FUNDING PROJECTS - SEP 2024","RESEARCH PROPOSAL WRITING FOR FUNDING PROJECTS: OPPORTUNITIES AND FUTURE ASPECTS","880c8.jpg","20/09/2024","22/09/2024","3 Days","0","landscape","2024-09-22 11:39:58"
"142","ISS--BPY--09--24","BUILDING BLOCKS OF PYTHON - SEP 2024","BUILDING BLOCKS OF PYTHON PROGRAMMING: CORE CONCEPTS","68bdc.jpg","23/09/2024","25/09/2024","3 Days","0","landscape","2024-09-25 15:10:03"
"143","ISS--JS--09--24","JAVASCRIPT INTERNATIONAL - SEP 2024","JAVASCRIPT CHRONICLES: FROM FUNDAMENTALS TO FUNCTIONAL ART","93efa.jpg","25/09/2024","27/09/2024","3 Days","0","landscape","2024-09-27 14:59:26"
"144","ISS--EWD--09--24","ESSENTIALS OF WEB DEVELOPMENT - SEP 2024","ESSENTIALS OF WEB DEVELOPMENT: CONCEPTS AND STRATEGIES FOR WEBSITE CREATION","43725.jpg","16/09/2024","27/09/2024","2 weeks","0","landscape","2024-09-27 15:08:43"
"145","ISS--PYM--10--24","PYTHON MASTERY - SEP OCT 2024","PYTHON MASTERY: FROM FUNDAMENTALS TO GUI PROJECTS","9f3b6.jpg","30/09/2024","02/10/2024","3 Days","0","landscape","2024-10-02 12:56:13"
"146","ISS--PDS--09--24","MASTERING DATA SCIENCE- Karpagam College Sep Oct 2024","MASTERING DATA SCIENCE: EXCEL TO ML TECHNIQUES","86fe7.jpg","02/09/2024","02/10/2024","1 Month","0","landscape","2024-10-02 14:06:21"
"147","ISS--PYD--09--24","PYTHON DECODED - Sep Oct 2024","PYTHON DECODED: FROM FOUNDATIONS TO OOPS","e9b61.jpg","23/09/2024","04/10/2024","2 weeks","0","landscape","2024-10-07 19:59:58"
"148","ISS--RMSP--10--24","Applied Research Methodology - Oct 2024","Applied Research Methodology: Designing, Collecting, and Analyzing Data using SPSS","80827.jpg","07/10/2024","13/10/2024","1 week","0","landscape","2024-10-11 14:26:14"
"149","ISS--PD--10--24","PYTHON & DJANGO - Sep Oct 2024","PYTHON & DJANGO: FROM BASICS TO REAL - WORLD MASTERY","baad2.jpg","30/09/2024","11/10/2024","2 weeks","0","landscape","2024-10-12 21:07:38"
"150","ISS--FSD--10--24","FULL STACK DEVELOPMENT - Sep Oct 2024","FULL STACK DEVELOPMENT USING PYTHON FRAMEWORK - DJANGO","78bf6.jpg","16/09/2024","11/10/2024","1 Month","0","landscape","2024-10-12 21:21:30"
"151","ISS--ET--10--24","EXCEL TOOLS - Oct 2024","EXCEL TOOLS FOR EFFECTIVE DATA ANALYSIS AND REPORTING","5c2c8.jpg","14/10/2024","16/10/2024","3 Days","0","landscape","2024-10-16 14:08:54"
"152","ISS--PYDA--10--24","PYTHON UNLEASHED - OCT 2024","PYTHON UNLEASHED: ADVANCED DATA ANALYSIS AND REAL-WORLD APPLICATIONS","4e746.jpg","07/10/2024","22/10/2024","2 weeks","0","landscape","2024-10-22 13:52:47"
"153","ISS--PDE--10--24","PYTHON FOR DATA EXPERTS - Sep Oct 2024","PYTHON FOR DATA EXPERTS PROCESSING, VISUALIZATION, AND APPLICATIONS","982bd.jpg","23/09/2024","22/10/2024","1 Month","0","landscape","2024-10-22 14:27:19"
